concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000001,Screening Visit 1,Visit,PIONEER,Undefined,,1,1970-01-01,2099-12-31,
2000000002,Screening Visit 2,Visit,PIONEER,Undefined,,2,1970-01-01,2099-12-31,
2000000003,Screening Visit 3,Visit,PIONEER,Undefined,,3,1970-01-01,2099-12-31,
2000000004,Screening Visit 4,Visit,PIONEER,Undefined,,4,1970-01-01,2099-12-31,
2000000005,Screening Visit 5,Visit,PIONEER,Undefined,,5,1970-01-01,2099-12-31,
2000000006,Early recall,Visit,PIONEER,Undefined,,6,1970-01-01,2099-12-31,
2000000007,Assigned to intervention trial arm,Observation,PIONEER,Undefined,,7,1970-01-01,2099-12-31,
2000000008,Assigned to control trial arm,Observation,PIONEER,Undefined,,8,1970-01-01,2099-12-31,
2000000009,Death Before Randomization,Observation,PIONEER,Undefined,,9,1970-01-01,2099-12-31,
2000000010,Cancer Before Randomization,Observation,PIONEER,Undefined,,10,1970-01-01,2099-12-31,
2000000011,Early recall scheduled,Observation,PIONEER,Undefined,,11,1970-01-01,2099-12-31,
2000000012,Screening not attended,Observation,PIONEER,Undefined,,12,1970-01-01,2099-12-31,
2000000013,Biopsy or assessment recommended,Observation,PIONEER,Undefined,,13,1970-01-01,2099-12-31,
2000000014,No sample collected due to participant refusal,Observation,PIONEER,Undefined,,14,1970-01-01,2099-12-31,
2000000015,No sample collected due to major risk of bleeding,Observation,PIONEER,Undefined,,15,1970-01-01,2099-12-31,
2000000016,Neoadjuvant endocrine therapy,Procedure,PIONEER,Undefined,,16,1970-01-01,2099-12-31,
2000000017,Pharmacological endocrine therapy,Procedure,PIONEER,Undefined,,17,1970-01-01,2099-12-31,
2000000018,Surgical endocrine therapy,Procedure,PIONEER,Undefined,,18,1970-01-01,2099-12-31,
2000000019,Adjuvant radiotherapy,Procedure,PIONEER,Undefined,,19,1970-01-01,2099-12-31,
2000000020,"Radiotherapy, Other",Procedure,PIONEER,Undefined,,20,1970-01-01,2099-12-31,
2000000021,Total PSA level - post operative,Measurement,PIONEER,Undefined,,21,1970-01-01,2099-12-31,
2000000022,Prostate Health Index,Measurement,PIONEER,Undefined,,22,1970-01-01,2099-12-31,
2000000023,Infection occurred after biopsy,Observation,PIONEER,Undefined,,23,1970-01-01,2099-12-31,
2000000024,Antibiotic resistance,Measurement,PIONEER,Undefined,,24,1970-01-01,2099-12-31,
2000000025,Nitrofuran,Measurement,PIONEER,Undefined,,25,1970-01-01,2099-12-31,
2000000026,Pain after biopsy,Condition,PIONEER,Undefined,,26,1970-01-01,2099-12-31,
2000000027,Size of prostate cancer in biopt,Measurement,PIONEER,Undefined,,27,1970-01-01,2099-12-31,
2000000028,PI-RADS score,Measurement,PIONEER,Undefined,,28,1970-01-01,2099-12-31,
2000000041,PSA doubling time,Measurement,PIONEER,Undefined,,41,1970-01-01,2099-12-31,
2000000042,Visual targeting of MRI lesions,Procedure,PIONEER,Undefined,,42,1970-01-01,2099-12-31,
2000000043,Software targeting of MRI lesions,Procedure,PIONEER,Undefined,,43,1970-01-01,2099-12-31,
2000000044,In-bore targeting of MRI lesions,Procedure,PIONEER,Undefined,,44,1970-01-01,2099-12-31,
2000000045,Prostate MRI ellipsoid,Measurement,PIONEER,Undefined,,45,1970-01-01,2099-12-31,
2000000046,Prostate MRI segmentation,Measurement,PIONEER,Undefined,,46,1970-01-01,2099-12-31,
2000000047,Prostate MRI volume,Measurement,PIONEER,Undefined,,47,1970-01-01,2099-12-31,
2000000048,Baseline Visit,Visit,PIONEER,Undefined,,48,1970-01-01,2099-12-31,
2000000049,Follow-up Visit 1,Visit,PIONEER,Undefined,,49,1970-01-01,2099-12-31,
2000000050,Follow-up Visit 2,Visit,PIONEER,Undefined,,50,1970-01-01,2099-12-31,
2000000051,Follow-up Visit 3,Visit,PIONEER,Undefined,,51,1970-01-01,2099-12-31,
2000000052,Follow-up Visit 4,Visit,PIONEER,Undefined,,52,1970-01-01,2099-12-31,
2000000053,Follow-up Visit 5,Visit,PIONEER,Undefined,,53,1970-01-01,2099-12-31,
2000000054,Follow-up Visit 6,Visit,PIONEER,Undefined,,54,1970-01-01,2099-12-31,
2000000055,Follow-up Visit 7,Visit,PIONEER,Undefined,,55,1970-01-01,2099-12-31,
2000000056,Follow-up Visit 8,Visit,PIONEER,Undefined,,56,1970-01-01,2099-12-31,
2000000057,Follow-up Visit 9,Visit,PIONEER,Undefined,,57,1970-01-01,2099-12-31,
2000000058,Follow-up Visit 10,Visit,PIONEER,Undefined,,58,1970-01-01,2099-12-31,
2000000059,Follow-up Visit 11,Visit,PIONEER,Undefined,,59,1970-01-01,2099-12-31,
2000000060,Follow-up Visit 12,Visit,PIONEER,Undefined,,60,1970-01-01,2099-12-31,
2000000061,Follow-up Visit 13,Visit,PIONEER,Undefined,,61,1970-01-01,2099-12-31,
2000000062,Follow-up Visit 14,Visit,PIONEER,Undefined,,62,1970-01-01,2099-12-31,
2000000063,Follow-up Visit 15,Visit,PIONEER,Undefined,,63,1970-01-01,2099-12-31,
2000000064,Follow-up Visit 16,Visit,PIONEER,Undefined,,64,1970-01-01,2099-12-31,
2000000065,Follow-up Visit 17,Visit,PIONEER,Undefined,,65,1970-01-01,2099-12-31,
2000000066,Follow-up Visit 18,Visit,PIONEER,Undefined,,66,1970-01-01,2099-12-31,
2000000067,Follow-up Visit 19,Visit,PIONEER,Undefined,,67,1970-01-01,2099-12-31,
2000000068,Follow-up Visit 20,Visit,PIONEER,Undefined,,68,1970-01-01,2099-12-31,
2000000069,Follow-up Visit 21,Visit,PIONEER,Undefined,,69,1970-01-01,2099-12-31,
2000000070,Follow-up Visit 22,Visit,PIONEER,Undefined,,70,1970-01-01,2099-12-31,
2000000071,Follow-up Visit 23,Visit,PIONEER,Undefined,,71,1970-01-01,2099-12-31,
2000000072,Follow-up Visit 24,Visit,PIONEER,Undefined,,72,1970-01-01,2099-12-31,
2000000073,Follow-up Visit 25,Visit,PIONEER,Undefined,,73,1970-01-01,2099-12-31,
2000000074,Follow-up Visit 26,Visit,PIONEER,Undefined,,74,1970-01-01,2099-12-31,
2000000075,Follow-up Visit 27,Visit,PIONEER,Undefined,,75,1970-01-01,2099-12-31,
2000000076,Follow-up Visit 28,Visit,PIONEER,Undefined,,76,1970-01-01,2099-12-31,
2000000077,Follow-up Visit 29,Visit,PIONEER,Undefined,,77,1970-01-01,2099-12-31,
2000000078,Follow-up Visit 30,Visit,PIONEER,Undefined,,78,1970-01-01,2099-12-31,
2000000079,Follow-up Visit 31,Visit,PIONEER,Undefined,,79,1970-01-01,2099-12-31,
2000000080,Follow-up Visit 32,Visit,PIONEER,Undefined,,80,1970-01-01,2099-12-31,
2000000081,Follow-up Visit 33,Visit,PIONEER,Undefined,,81,1970-01-01,2099-12-31,
2000000082,Follow-up Visit 34,Visit,PIONEER,Undefined,,82,1970-01-01,2099-12-31,
2000000083,Follow-up Visit 35,Visit,PIONEER,Undefined,,83,1970-01-01,2099-12-31,
2000000084,Follow-up Visit 36,Visit,PIONEER,Undefined,,84,1970-01-01,2099-12-31,
2000000085,Follow-up Visit 37,Visit,PIONEER,Undefined,,85,1970-01-01,2099-12-31,
2000000086,Follow-up Visit 38,Visit,PIONEER,Undefined,,86,1970-01-01,2099-12-31,
2000000087,Baseline Visit - MRI,Visit,PIONEER,Undefined,,87,1970-01-01,2099-12-31,
2000000088,Follow-up Visit 1 - MRI,Visit,PIONEER,Undefined,,88,1970-01-01,2099-12-31,
2000000089,Follow-up Visit 2 - MRI,Visit,PIONEER,Undefined,,89,1970-01-01,2099-12-31,
2000000090,Follow-up Visit 3 - MRI,Visit,PIONEER,Undefined,,90,1970-01-01,2099-12-31,
2000000091,Follow-up Visit 4 - MRI,Visit,PIONEER,Undefined,,91,1970-01-01,2099-12-31,
2000000092,Follow-up Visit 5 - MRI,Visit,PIONEER,Undefined,,92,1970-01-01,2099-12-31,
2000000093,Follow-up Visit 6 - MRI,Visit,PIONEER,Undefined,,93,1970-01-01,2099-12-31,
2000000094,Follow-up Visit 7 - MRI,Visit,PIONEER,Undefined,,94,1970-01-01,2099-12-31,
2000000095,Follow-up Visit 8 - MRI,Visit,PIONEER,Undefined,,95,1970-01-01,2099-12-31,
2000000096,Follow-up Visit 9 - MRI,Visit,PIONEER,Undefined,,96,1970-01-01,2099-12-31,
2000000097,Follow-up Visit 10 - MRI,Visit,PIONEER,Undefined,,97,1970-01-01,2099-12-31,
2000000098,Follow-up Visit 11 - MRI,Visit,PIONEER,Undefined,,98,1970-01-01,2099-12-31,
2000000099,Follow-up Visit 12 - MRI,Visit,PIONEER,Undefined,,99,1970-01-01,2099-12-31,
2000000100,Follow-up Visit 13 - MRI,Visit,PIONEER,Undefined,,100,1970-01-01,2099-12-31,
2000000101,Follow-up Visit 14 - MRI,Visit,PIONEER,Undefined,,101,1970-01-01,2099-12-31,
2000000102,Follow-up Visit 15 - MRI,Visit,PIONEER,Undefined,,102,1970-01-01,2099-12-31,
2000000103,Follow-up Visit 16 - MRI,Visit,PIONEER,Undefined,,103,1970-01-01,2099-12-31,
2000000104,Follow-up Visit 17 - MRI,Visit,PIONEER,Undefined,,104,1970-01-01,2099-12-31,
2000000105,Follow-up Visit 18 - MRI,Visit,PIONEER,Undefined,,105,1970-01-01,2099-12-31,
2000000106,Follow-up Visit 19 - MRI,Visit,PIONEER,Undefined,,106,1970-01-01,2099-12-31,
2000000107,Follow-up Visit 20 - MRI,Visit,PIONEER,Undefined,,107,1970-01-01,2099-12-31,
2000000108,Follow-up Visit 21 - MRI,Visit,PIONEER,Undefined,,108,1970-01-01,2099-12-31,
2000000109,Follow-up Visit 22 - MRI,Visit,PIONEER,Undefined,,109,1970-01-01,2099-12-31,
2000000110,Follow-up Visit 23 - MRI,Visit,PIONEER,Undefined,,110,1970-01-01,2099-12-31,
